-0.33352,-2919.7,-1787.2
2.7129,7089.9,-6185.3
0.3415,290.47,-4647.5
0.16929,-1343.8,-4801.2
-0.11601,-1781.5,-2156.3
-0.53929,57.008,-1879.4
-1.6478,-7268,2241.8
0.98065,961.67,-5600.9
0.34429,4084.2,-6554.3
-1.9035,-7238.8,3472.1
-1.3947,1457.8,-2125.5
1.0193,786.58,-5662.4
1.4665,8373.9,-3232.7
-0.14087,-4729,-3940.1
-0.0076606,3675.6,919.33
0.65348,-672.56,-6000.7
-1.7339,-6159,7039.8
-0.98571,-4349.6,4825.3
2.9946,728.21,827.07
-1.4938,1224.3,-1725.7
0.24807,-6159,-2556.1
2.5751,-2540.3,1842
0.0098484,-4816.6,-4124.6
1.0481,3821.5,-5631.7
-0.66519,-3853.5,5409.7
1.1501,1983.1,611.77
-0.22584,-4408,-6738.9
-1.151,2420.8,-1756.4
-0.48912,-5137.6,-5324.1
1.2654,669.84,2733.9
0.43188,-6976.2,-3755.6
0.54604,-672.56,-4893.5
1.2369,-1489.7,-6708.1
-0.24306,-3357.4,-2679.1
-0.87763,-4904.1,6639.9
0.66453,1049.2,2672.4
0.39626,-5633.7,-4370.7
-0.055234,-2336,-1941
0.41158,-7180.5,-2894.4
0.069264,-5166.8,-1141.3
0.23644,-2365.2,-6708.1
2.0666,1632.9,488.75
0.57868,-5692.1,-2248.5
-0.76226,378.02,-3540.3
-0.52492,-118.09,-1664.2
0.38003,-6947,-2771.4
-0.18889,-2336,-3232.7
3.0447,7586,-6554.3
-0.08221,-6042.3,-5970
2.4483,494.75,-249.39
4.1121,-730.93,1657.5
1.4792,-1197.9,-7046.4
-0.88277,-2248.4,5102.1
-0.6022,-1489.7,-3017.4
0.36021,-2919.7,-4770.5
-1.6755,-6509.2,4825.3
-0.48533,-4116.2,-4616.7
-0.28599,-1577.2,4056.4
3.6001,-789.29,2057.3
-0.77704,4580.3,-3571
0.78974,7761.1,-4370.7
-1.8624,-6304.9,2733.9
1.9252,-468.28,-587.7
0.26069,-1110.3,-4955
0.51097,-2481.9,-6984.9
0.0075188,-3532.5,-495.44
1.4237,-2481.9,211.95
-0.45294,-351.55,-3970.8
2.2023,7206.6,-5600.9
-2.2326,-6363.3,6947.5
0.66373,1136.8,-5078.1
3.8319,-1256.2,1073.1
1.5586,3383.8,-6523.6
0.087114,-6188.2,-6123.7
-0.76967,-4087,-6062.2
-1.7144,-6771.9,2857
0.80353,-2160.9,-6892.6
-1.0358,786.58,-2955.9
1.4305,-4203.7,1165.4
0.13071,-4758.2,-2033.2
-0.35252,-3736.8,-4278.4
-0.18693,-2686.2,-2094.7
0.00063502,436.38,-4247.6
0.20275,-2102.5,-5600.9
-0.30282,-3299,-6216
0.82057,3150.4,-5354.9
2.4745,7381.7,-5785.4
3.584,-847.66,1995.8
0.25475,-5808.8,-895.26
0.76872,-935.21,-6431.3
-0.33003,-3299,-4216.9
3.0711,8198.8,-5939.2
-1.3326,-4174.5,6178.6
1.9206,57.008,-710.73
-0.073103,-1839.9,-1941
-1.0358,-5108.4,6916.7
4.9699,-147.27,550.26
0.33011,-6771.9,-2494.6
1.0631,-5196,488.75
0.68278,-6830.2,-187.88
0.94782,2595.9,-5723.9
-0.2331,1662.1,-4309.2
0.22242,-5983.9,-1571.9
-0.28792,-3065.6,-3140.4
0.23899,-5954.7,-2586.8
2.4972,-1460.5,2241.8
1.0844,6827.3,-3571
-0.94998,-4466.4,5040.6
0.97128,8140.5,-4124.6
0.78898,-3590.9,1349.9
